OBJECTID,FID_GRID_TAZ_50_100,grid_id,Grid_Area,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,Shape_Length,Shape_Area,segArea
1112,1491,1491,830255.3106,473,28,935,332,473,8340,LG403-T2-01,3098469.187,834,473,0,3071800,0.026026351,2.79707E-05,318813.0625
1113,1510,1510,831078.4583,103,242,503,79,103,5090,BA101-B,6588781.89,509,103,0,6535190,0.019801051,1.62403E-05,185285.3281
1114,1511,1511,831066.3306,103,242,503,79,103,5090,BA101-B,6588781.89,509,103,0,6535190,0.028746363,4.01688E-05,458298.0625
1115,1511,1511,831066.3306,107,263,518,87,107,5150,BA103A-03,3089020.448,515,107,0,3066020,0.021927194,2.2498E-05,256682.1719
1116,1511,1511,831066.3306,338,268,527,95,338,5140,BA103A-02,2120608.291,514,338,0,2104670,0.014535039,9.28139E-06,105893.6641
1117,1512,1512,831054.2371,103,242,503,79,103,5090,BA101-B,6588781.89,509,103,0,6535190,0.003605051,5.50995E-07,6286.563965
1118,1512,1512,831054.2371,107,263,518,87,107,5150,BA103A-03,3089020.448,515,107,0,3066020,0.004639154,9.22661E-07,10526.45801
1119,1512,1512,831054.2371,338,268,527,95,338,5140,BA103A-02,2120608.291,514,338,0,2104670,0.031623166,6.95065E-05,793004.1875
1120,1512,1512,831054.2371,340,350,526,94,340,5100,BA103A-01,3199677.833,510,340,0,3175740,0.006589724,1.86148E-06,21238.25781
1121,1513,1513,831042.1778,338,268,527,95,338,5140,BA103A-02,2120608.291,514,338,0,2104670,0.020974392,1.88583E-05,215147.4063
1122,1513,1513,831042.1778,340,350,526,94,340,5100,BA103A-01,3199677.833,510,340,0,3175740,0.03056355,5.39833E-05,615892.375
1123,1514,1514,831030.1527,337,349,528,96,337,5110,BA103B-01,1615218.69,511,337,0,1603790,0.016143449,1.09367E-05,124769.8594
1124,1514,1514,831030.1527,340,350,526,94,340,5100,BA103A-01,3199677.833,510,340,0,3175740,0.031450113,6.19049E-05,706256.9375
1125,1515,1515,831018.1617,331,20,1097,431,331,5010,BA102A-03,1486804.729,501,331,0,1476500,0.022220055,2.5944E-05,295986.75
1126,1515,1515,831018.1617,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.000257463,2.83551E-09,32.34788895
1127,1515,1515,831018.1617,337,349,528,96,337,5110,BA103B-01,1615218.69,511,337,0,1603790,0.025395558,3.61388E-05,412288.75
1128,1515,1515,831018.1617,340,350,526,94,340,5100,BA103A-01,3199677.833,510,340,0,3175740,0.010973466,5.91783E-06,67515.50781
1129,1515,1515,831018.1617,348,218,525,93,348,5060,BA101A-03,1739437.937,506,348,0,1727110,0.011051051,4.83819E-06,55197.96875
1130,1516,1516,831006.2048,330,341,508,81,330,5030,BA102A-02,2804288.502,503,330,0,2786300,0.028155298,3.59373E-05,409983.1563
1131,1516,1516,831006.2048,331,20,1097,431,331,5010,BA102A-03,1486804.729,501,331,0,1476500,0.027965465,3.63606E-05,414818.5
1132,1516,1516,831006.2048,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.002690559,3.17188E-07,3618.534424
1133,1516,1516,831006.2048,337,349,528,96,337,5110,BA103B-01,1615218.69,511,337,0,1603790,0.002249755,2.26586E-07,2584.938232
1134,1517,1517,830994.2821,311,16,506,80,311,5040,BA102A-01,3322693.652,504,311,0,3302780,0.008487513,3.06463E-06,34962.90234
1135,1517,1517,830994.2821,330,341,508,81,330,5030,BA102A-02,2804288.502,503,330,0,2786300,0.032715697,6.9777E-05,796033.625
1136,1518,1518,830982.3936,311,16,506,80,311,5040,BA102A-01,3322693.652,504,311,0,3302780,0.030415701,5.22465E-05,596035.125
1137,1518,1518,830982.3936,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.001325789,7.22718E-08,824.4556885
1138,1518,1518,830982.3936,330,341,508,81,330,5030,BA102A-02,2804288.502,503,330,0,2786300,0.021413923,2.05229E-05,234120.5781
1139,1519,1519,830970.5392,152,230,320,45,152,3310,BA102-04-19,3311281.104,331,152,0,3292830,0.014990159,9.58489E-06,109344.8359
1140,1519,1519,830970.5392,311,16,506,80,311,5040,BA102A-01,3322693.652,504,311,0,3302780,0.029481747,5.67878E-05,647831.125
1141,1519,1519,830970.5392,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.012283308,6.46892E-06,73794.22656
1142,1520,1520,830958.719,151,321,336,60,151,3430,NS010-01-01,2155589.466,343,151,0,2145160,0.012664553,8.08299E-06,92210.22656
1143,1520,1520,830958.719,152,230,320,45,152,3310,BA102-04-19,3311281.104,331,152,0,3292830,0.015536934,1.0704E-05,122112.1953
1144,1520,1520,830958.719,259,313,958,346,259,3440,NS010-02-19,3899780.826,344,259,0,3881150,0.026959829,4.27465E-05,487638.625
1145,1520,1520,830958.719,311,16,506,80,311,5040,BA102A-01,3322693.652,504,311,0,3302780,0.000506979,1.09246E-08,124.6261215
1146,1520,1520,830958.719,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.015667096,1.12972E-05,128873.2578
1147,1521,1521,830946.9329,151,321,336,60,151,3430,NS010-01-01,2155589.466,343,151,0,2145160,0.021242683,1.57492E-05,179661.5156
1148,1521,1521,830946.9329,259,313,958,346,259,3440,NS010-02-19,3899780.826,344,259,0,3881150,0.030597365,5.70924E-05,651285.375
1149,1522,1522,830935.181,151,321,336,60,151,3430,NS010-01-01,2155589.466,343,151,0,2145160,0.021287336,1.5942E-05,181858.4844
1150,1522,1522,830935.181,259,313,958,346,259,3440,NS010-02-19,3899780.826,344,259,0,3881150,0.030552729,5.68996E-05,649076.625
1151,1523,1523,830923.4632,151,321,336,60,151,3430,NS010-01-01,2155589.466,343,151,0,2145160,0.01791227,1.26746E-05,144584.1094
1152,1523,1523,830923.4632,153,312,333,57,153,3410,NS009-01-05,2425533.033,341,153,0,2416060,0.007748816,3.36648E-06,38403.04297
1153,1523,1523,830923.4632,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.018317674,1.74222E-05,198737.7344
1154,1523,1523,830923.4632,259,313,958,346,259,3440,NS010-02-19,3899780.826,344,259,0,3881150,0.025117705,3.93783E-05,449197.4063
1155,1524,1524,830911.7796,153,312,333,57,153,3410,NS009-01-05,2425533.033,341,153,0,2416060,0.02017724,1.25852E-05,143561.1875
1156,1524,1524,830911.7796,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.031901162,6.02564E-05,687350.6875
1157,1525,1525,830900.1301,153,312,333,57,153,3410,NS009-01-05,2425533.033,341,153,0,2416060,0.005661016,7.82611E-07,8927.520508
1158,1525,1525,830900.1301,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.033607015,7.2059E-05,821975.0625
1159,1526,1526,830888.5147,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.03416,7.28416E-05,830888.5
1160,1527,1527,830876.9335,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.03416,7.28416E-05,830876.9375
1161,1528,1528,830865.3864,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.03416,7.28416E-05,830865.375
1162,1529,1529,830853.8735,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.022434544,2.29278E-05,261521.5469
1163,1529,1529,830853.8735,257,297,335,59,257,3420,NS009-T1-13,18465495.23,342,257,0,18398800,0.028612444,4.99138E-05,569332.8125
1164,1530,1530,830842.3946,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.03416,7.28416E-05,830842.375
1165,1531,1531,830830.95,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.03416,7.28416E-05,830830.9375
1166,1532,1532,830819.5394,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.033590955,6.35421E-05,724752.3125
1167,1532,1532,830819.5394,282,187,1170,488,282,2550,FT006-02-02,2186557.027,255,282,0,2177350,0.017974629,9.29949E-06,106068.7734
1168,1533,1533,830808.163,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.023531473,9.43119E-06,107567.7969
1169,1533,1533,830808.163,282,187,1170,488,282,2550,FT006-02-02,2186557.027,255,282,0,2177350,0.032882301,6.27859E-05,716115.6875
1170,1533,1533,830808.163,283,186,1171,489,283,2540,FT006-02-02,674397.5741,254,283,0,671245,0.004498892,6.2452E-07,7123.244629
1171,1534,1534,830796.8207,173,183,1168,487,173,2530,FT006-01-04,1450479.61,253,173,0,1443470,0.035989108,4.14155E-05,472364.2188
1172,1534,1534,830796.8207,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.024105264,6.77813E-06,77306.77344
1173,1534,1534,830796.8207,282,187,1170,488,282,2550,FT006-02-02,2186557.027,255,282,0,2177350,0.019215562,2.30271E-05,262637.7188
1174,1534,1534,830796.8207,283,186,1171,489,283,2540,FT006-02-02,674397.5741,254,283,0,671245,0.005371675,1.62083E-06,18486.93945
1175,1535,1535,830785.5125,173,183,1168,487,173,2530,FT006-01-04,1450479.61,253,173,0,1443470,0.02687085,2.68634E-05,306389.5
1176,1535,1535,830785.5125,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.013096109,8.9737E-06,102347.6016
1177,1535,1535,830785.5125,254,184,1172,490,254,2520,FT006-01-04,1109652.509,252,254,0,1103880,0.025467689,3.70045E-05,422048.5
1178,1536,1536,830774.2385,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.001823833,1.82984E-07,2086.903564
1179,1536,1536,830774.2385,253,309,1173,491,253,2510,FT006-01-04,1299297.381,251,253,0,1291930,0.028637471,4.99766E-05,569991.0625
1180,1536,1536,830774.2385,254,184,1172,490,254,2520,FT006-01-04,1109652.509,252,254,0,1103880,0.022167322,2.2682E-05,258696.6094
1181,1537,1537,830762.9986,140,215,215,28,140,2160,FT002-T1-01,1726419.173,216,140,0,1715750,0.017454097,7.62349E-06,86946.10938
1182,1537,1537,830762.9986,252,182,235,37,252,2560,FT006-T1-01,10906618.41,256,252,0,10861600,0.008676399,2.33303E-06,26607.57813
1183,1537,1537,830762.9986,253,309,1173,491,253,2510,FT006-01-04,1299297.381,251,253,0,1291930,0.029894019,4.58146E-05,522521.0938
1184,1537,1537,830762.9986,258,320,120,12,258,1280,LH005-02-02,1991813.597,128,258,0,1979560,0.021335233,1.66358E-05,189729.8438
1185,1537,1537,830762.9986,267,216,121,13,267,1290,LH005-T1-01,7785730.618,129,267,0,7734980,0.002841238,4.34639E-07,4956.942871
1186,1538,1538,830751.7928,140,215,215,28,140,2160,FT002-T1-01,1726419.173,216,140,0,1715750,0.022107156,2.46967E-05,281665.0938
