OBJECTID,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,FID_grid_100,grid_area,grid_id,Shape_Length,Shape_Area,segArea
11949,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13622,210922.3906,13621,0.009308148,4.22668E-06,48170.89063
11950,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13818,219710.5938,13817,0.004659794,1.06311E-06,12116.08789
11951,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13819,210920.6094,13818,0.008190151,2.38235E-06,27151.20898
11952,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,11816,210987.6719,11815,0.010029698,2.95677E-06,33707.21094
11953,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,11817,213916.4844,11816,0.001016458,3.90798E-08,445.5088806
11954,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,11818,219775.5625,11817,0.006966595,1.9608E-06,22353.15039
11955,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12016,198750.6719,12015,0.011922735,6.47978E-06,73869.54688
11956,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12017,201509.625,12016,0.018282854,1.408E-05,160510.1875
11957,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12018,207028.875,12017,0.016159881,1.66546E-05,189858.5938
11958,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12019,198746.25,12018,0.01287795,7.57004E-06,86295.75
11959,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12020,198744.7969,12019,0.012035836,3.33159E-06,37978.40234
11960,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12216,210975.2969,12215,0.001680589,1.1379E-07,1297.181152
11961,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12217,213903.9375,12216,0.015986046,1.51663E-05,172887.9844
11962,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12218,219762.6719,12217,0.017578125,1.92784E-05,219762.6875
11963,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12219,210970.5938,12218,0.017211914,1.85072E-05,210970.6094
11964,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12220,210969.0625,12219,0.015344016,1.41361E-05,161141.1094
11965,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12417,213897.4844,12416,0.013380111,9.66369E-06,110157.9766
11966,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12418,219756.0313,12417,0.017578124,1.92784E-05,219756
11967,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12419,210964.2188,12418,0.017211912,1.85072E-05,210964.1875
11968,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12420,210962.6875,12419,0.015913375,1.54675E-05,176313.3594
11969,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12617,204591.5469,12616,0.013893752,1.07946E-05,123046.3281
11970,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12618,210195.2188,12617,0.017211914,1.84402E-05,210195.2188
11971,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12619,201785.9063,12618,0.016845703,1.77026E-05,201785.9063
11972,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12620,201784.4375,12619,0.016569097,1.74702E-05,199135.6406
11973,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12621,201782.9688,12620,0.005600585,6.4565E-07,7359.386719
11974,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12816,207899.1563,12815,0.004755879,6.58163E-07,7502.047852
11975,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12817,210785.0938,12816,0.016421102,1.7437E-05,198756.1406
11976,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12818,216558.4063,12817,0.017216226,1.88397E-05,214742.0156
11977,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12819,207894.5313,12818,0.015915185,1.53571E-05,175045.5938
11978,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12820,207893.0156,12819,0.014619124,1.27248E-05,145040.875
11979,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,12821,207891.5156,12820,0.006745215,1.99065E-06,22689.91016
11980,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,13016,201778.5625,13015,0.005309686,7.91429E-07,9020.96582
11981,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,13017,204579.5313,13016,0.012639481,7.88214E-06,89842.78906
11982,370,456,592,139,370,5400,XBGY-39,3733730.825,540,370,0,3709730,13018,210182.875,13017,0.007938042,1.51691E-06,17289.91602
11983,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11214,211009.5,11213,0.006973912,1.61045E-06,18361.35742
11984,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11215,211007.9531,11214,0.014236527,1.19917E-05,136720.9531
11985,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11216,211006.4063,11215,0.013478882,1.006E-05,114697.0078
11986,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11217,213935.4844,11216,0.013717389,1.14374E-05,130399.2969
11987,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11218,219795.0781,11217,0.012758943,7.6094E-06,86755.44531
11988,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11219,211001.7031,11218,0.009487102,2.62517E-06,29929.59375
11989,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11414,198771.2344,11413,0.003808259,3.45304E-07,3936.877686
11990,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11415,198769.7813,11414,0.016056583,1.65843E-05,189078.5313
11991,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11416,198768.3281,11415,0.016723633,1.74344E-05,198768.3281
11992,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11417,201527.5156,11416,0.016845705,1.76765E-05,201527.5625
11993,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11418,207047.2656,11417,0.017089844,1.81608E-05,207047.2656
11994,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11419,198763.9063,11418,0.016409295,1.69813E-05,193599.0156
11995,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11420,198762.4531,11419,0.005122255,8.78173E-07,10011.6377
11996,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11615,210995.5781,11614,0.013822678,1.03032E-05,117463.6406
11997,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11616,210994.0469,11615,0.017211912,1.85072E-05,210994
11998,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11617,213922.9375,11616,0.017333985,1.87643E-05,213922.9375
11999,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11618,219782.2031,11617,0.017578124,1.92784E-05,219782.1563
12000,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11619,210989.3438,11618,0.017211912,1.85072E-05,210989.2969
12001,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11620,210987.8125,11619,0.012923534,8.4106E-06,95882.82031
12002,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11815,210989.2188,11814,0.005152385,1.05927E-06,12076.19922
12003,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11816,210987.6719,11815,0.015484691,1.37509E-05,156764.9844
12004,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11817,213916.4844,11816,0.017180198,1.87252E-05,213470.9375
12005,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11818,219775.5625,11817,0.017983722,1.73176E-05,197422.0469
12006,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11819,210982.9688,11818,0.017211914,1.85072E-05,210982.9688
12007,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,11820,210981.4375,11819,0.015807058,1.6052E-05,182992.0625
12008,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12016,198750.6719,12015,1.87167E-05,1.28432E-11,0.146413088
12009,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12017,201509.625,12016,0.009942797,3.59646E-06,40999.49609
12010,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12018,207028.875,12017,0.005603637,1.50621E-06,17170.5918
12011,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12019,198746.25,12018,0.01300306,9.86431E-06,112450.4531
12012,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12020,198744.7969,12019,0.014088683,1.19885E-05,136664.8281
12013,371,459,591,138,371,5370,XBGY-46,3896399.025,537,371,0,3870860,12220,210969.0625,12219,2.95839E-05,3.69795E-11,0.421546429
12014,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11213,211011.0469,11212,0.007014171,1.12919E-06,12874.39453
12015,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11214,211009.5,11213,0.013935871,1.18848E-05,135504.1406
12016,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11413,198772.7031,11412,0.008832039,1.77777E-06,20268.64258
12017,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11414,198771.2344,11413,0.016388331,1.70891E-05,194834.4688
12018,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11415,198769.7813,11414,0.005496531,8.50022E-07,9691.068359
12019,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11613,210998.6719,11612,0.009525607,2.31945E-06,26443.67188
12020,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11614,210997.125,11613,0.017211914,1.85072E-05,210997.125
12021,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11615,210995.5781,11614,0.013123595,8.20405E-06,93531.83594
12022,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11813,210992.3125,11812,0.010605947,3.76143E-06,42882.03125
12023,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11814,210990.7656,11813,0.017211916,1.85072E-05,210990.8125
12024,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11815,210989.2188,11814,0.016389561,1.7448E-05,198913.2656
12025,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,11816,210987.6719,11815,0.006712695,1.79955E-06,20515.18945
12026,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12013,198755.0469,12012,0.01167578,7.72269E-06,88039.94531
12027,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12014,198753.5781,12013,0.016723633,1.74344E-05,198753.5781
12028,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12015,198752.125,12014,0.016723631,1.74344E-05,198752.0781
12029,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12016,198750.6719,12015,0.014178715,1.09546E-05,124881.1563
12030,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12213,210979.9375,12212,0.008644891,4.66683E-06,53201.54297
12031,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12214,210978.3906,12213,0.013117885,9.50984E-06,108410.5078
12032,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12215,210976.8438,12214,0.012936746,9.52353E-06,108565.7109
12033,372,460,598,145,372,5360,XBGY-45,2125161.173,536,372,0,2111940,12216,210975.2969,12215,0.010515636,4.72761E-06,53893.33203
12034,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12214,210978.3906,12213,0.008940238,4.95261E-06,56458.05469
12035,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12215,210976.8438,12214,0.013128194,8.98371E-06,102411.1328
12036,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12216,210975.2969,12215,0.015434429,1.36658E-05,155784.9375
12037,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12217,213903.9375,12216,0.009450863,3.59803E-06,41015.64453
12038,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12414,210972.0156,12413,0.013052346,1.01476E-05,115676.5859
12039,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12415,210970.4688,12414,0.017211912,1.85072E-05,210970.4219
12040,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12416,210968.9219,12415,0.017211912,1.85072E-05,210968.8906
12041,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12417,213897.4844,12416,0.012494153,9.1006E-06,103739.4922
12042,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12614,201793.3594,12613,0.011604773,6.99365E-06,79721.28906
12043,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12615,201791.875,12614,0.016845703,1.77026E-05,201791.875
12044,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12616,201790.4063,12615,0.016845703,1.77026E-05,201790.4063
12045,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12617,204591.5469,12616,0.011527726,7.15381E-06,81545.36719
12046,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12814,207902.2031,12813,0.01062945,4.53866E-06,51735.05078
12047,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12815,207900.6719,12814,0.017089844,1.8239E-05,207900.6875
12048,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12816,207899.1563,12815,0.016678834,1.75809E-05,200396.9219
12049,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,12817,210785.0938,12816,0.005381435,1.05533E-06,12029.33887
